question,chunk_config,emb_model,vector_store,llm,ROUGE-1 F,ROUGE-2 F,ROUGE-L F
What is the Transformer architecture and how does self-atten,medium,minilm,chroma,qwen,0.2396,0.0526,0.125
What is the Transformer architecture and how does self-atten,medium,minilm,faiss,qwen,0.2152,0.0181,0.0987
How does BERT differ from GPT in terms of pre-training appro,medium,minilm,chroma,qwen,0.2041,0.0103,0.1122
How does BERT differ from GPT in terms of pre-training appro,medium,minilm,faiss,qwen,0.2807,0.0265,0.1228
What is Retrieval-Augmented Generation and what are its adva,medium,minilm,chroma,qwen,0.2083,0.0588,0.1167
What is Retrieval-Augmented Generation and what are its adva,medium,minilm,faiss,qwen,0.1969,0.0159,0.0945
Explain the LoRA method for fine-tuning large language model,medium,minilm,chroma,qwen,0.2798,0.0299,0.119
Explain the LoRA method for fine-tuning large language model,medium,minilm,faiss,qwen,0.2822,0.0502,0.1494
What are the key results of GPT-3 on few-shot learning bench,medium,minilm,chroma,qwen,0.1149,0.0272,0.0811
What are the key results of GPT-3 on few-shot learning bench,medium,minilm,faiss,qwen,0.1298,0.0308,0.0611
